section_id,article_id,article_title,section_path,heading,level,bert_umap1,bert_umap2,base_value_mean,base_value_std,base_n_runs,base_value_pctile,base_variance_pctile,instruct_value_mean,instruct_value_std,instruct_n_runs,instruct_value_pctile,instruct_variance_pctile
2136,8127,Post-classical history,Eurasian trends > Plague and disease > Second plague pandemic until 1500,Second plague pandemic until 1500,4,7.688531,0.7323643,73.84214466799142,27.038305750784918,2,0.6372180451127819,0.343609022556391,21.69429713946431,23.147123677432052,3,0.3443609022556391,0.3699248120300752
2137,8127,Post-classical history,Eurasian trends > Science,Science,3,7.7056313,0.81676775,107.6422955515759,81.7055009471816,2,0.7842105263157895,0.781578947368421,52.95157462743649,60.02124052643424,3,0.6800751879699248,0.7800751879699248
2138,8127,Post-classical history,Eurasian trends > Literature and the arts,Literature and the arts,3,10.047732,1.5878805,58.726508730052,20.551168061787475,2,0.5368421052631579,0.26278195488721806,54.41681367417314,17.901387148587013,3,0.6921052631578948,0.2800751879699248
2139,8127,Post-classical history,History by region > Africa,Africa,3,7.452681,0.8845749,62.59927511655901,18.934324444720406,2,0.5650375939849624,0.2432330827067669,21.925723599143257,16.197122161554063,3,0.34774436090225563,0.24736842105263157
2140,8127,Post-classical history,History by region > Europe,Europe,3,8.278936,0.77418137,79.90739505597284,34.49916577012202,2,0.6680451127819549,0.4330827067669173,24.342778185634373,48.53681886862102,3,0.37781954887218044,0.6962406015037594
2141,8127,Post-classical history,History by region > West and Central Asia,West and Central Asia,3,7.8314924,0.8056014,8.309384205499445,29.789891499185455,2,0.20827067669172933,0.38082706766917296,31.253621116348892,4.660888538087656,3,0.4642857142857143,0.033458646616541354
2142,8127,Post-classical history,History by region > South Asia,South Asia,3,7.7311907,0.6772337,66.29234905886179,32.32518881501226,2,0.5898496240601504,0.4112781954887218,41.87904309323179,16.091152047259694,3,0.5808270676691729,0.24436090225563908
2143,8127,Post-classical history,History by region > Southeast Asia,Southeast Asia,3,7.581086,0.6378326,66.53213409277777,26.530551198574678,2,0.5924812030075188,0.3360902255639098,35.16386700568763,16.251682421488635,3,0.5105263157894737,0.24849624060150377
2144,8127,Post-classical history,History by region > East Asia,East Asia,3,7.9150043,0.7523367,35.5680087184979,6.08763470622572,2,0.3849624060150376,0.08233082706766917,24.341493055764204,11.236001360693999,3,0.3774436090225564,0.14586466165413534
2145,8127,Post-classical history,History by region > Oceania,Oceania,3,5.9414687,0.64564145,79.85707498618507,71.96958796226943,2,0.6672932330827067,0.7308270676691729,39.94009744461291,40.096592483112566,3,0.5593984962406015,0.6131578947368421
